chr	from	to	state	length	slope	p	fcp	pol_mean	pol_left	pol_right	na	cor	slope_adj	pol_adj_left	pol_adj_right
chr21	46964001	46996000	U	32000	581	75	67	49	40	58	0	48	438	42	56
chr21	47113001	47132000	U	19000	1081	94	77	68	59	78	0	63	737	60	74
chr21	47555001	47603000	U	48000	295	79	44	51	44	58	0	37	479	39	62
chr21	48010001	48064000	U	54000	762	99	95	48	28	68	0	77	648	27	62
chr	from	to	state	length	slope	p	fcp	pol_mean	pol_left	pol_right	na	cor	slope_adj	pol_adj_left	pol_adj_right
chr22	16630001	16641000	U	11000	1987	96	75	44	34	54	0	45	1364	35	50
chr22	16683001	16698000	U	15000	2374	92	80	45	28	61	0	76	2333	31	66
chr22	17196001	17236000	U	40000	540	64	48	30	19	40	0	54	225	24	33
chr22	18030001	18076000	U	46000	387	95	88	39	30	47	9	43	283	37	50
chr22	18251001	18272000	U	21000	1918	98	92	49	30	68	0	71	1524	34	66
chr22	18504001	18561000	U	57000	607	97	93	48	31	65	0	76	526	30	60
chr22	19103001	19158000	U	55000	418	90	80	42	31	53	2	54	400	32	54
chr22	19821001	19848000	U	27000	1031	82	53	58	44	71	0	71	852	41	64
chr22	20763001	20789000	U	26000	563	95	87	58	51	65	0	28	423	49	60
chr22	21317001	21341000	U	24000	1047	97	85	53	41	65	0	54	917	38	60
chr22	21875001	21929000	U	54000	443	100	95	49	38	61	15	46	481	36	62
chr22	21983001	21997000	U	14000	1883	85	42	62	49	74	0	69	1714	48	72
chr22	23387001	23404000	U	17000	1095	85	64	36	27	45	0	40	882	30	45
chr22	24089001	24103000	U	14000	1029	90	45	42	36	49	7	35	857	36	48
chr22	24381001	24415000	U	34000	817	92	81	60	47	74	6	50	588	46	66
chr22	24654001	24672000	U	18000	2380	92	83	58	38	78	0	70	1611	37	66
chr22	25327001	25354000	U	27000	1400	99	91	61	43	79	0	70	1074	49	78
chr22	25796001	25826000	U	30000	1312	97	93	45	26	64	0	74	1267	32	70
chr22	26984001	27066000	U	82000	485	96	91	52	32	71	4	71	512	30	72
chr22	28216001	28240000	U	24000	831	95	79	49	39	58	0	43	917	34	56
chr22	29149001	29167000	U	18000	1886	86	76	34	19	51	6	71	2000	18	54
chr22	30101001	30134000	U	33000	361	78	60	44	39	50	0	29	364	40	52
chr22	30168001	30189000	U	21000	1985	92	82	55	35	75	0	84	1572	38	71
chr22	30461001	30472000	U	11000	2384	97	78	49	37	61	18	57	1364	49	64
chr22	30656001	30676000	U	20000	565	92	80	49	44	54	0	26	650	42	55
chr22	31504001	31561000	U	57000	501	97	85	52	38	66	2	55	509	35	64
chr22	32050001	32080000	U	30000	1675	94	88	51	26	75	13	86	1033	39	70
chr22	32312001	32345000	U	33000	1021	99	89	53	37	69	0	61	1061	38	73
chr22	32953001	32979000	U	26000	509	96	81	58	52	65	0	44	769	46	66
chr22	33627001	33649000	U	22000	1484	82	72	60	45	76	5	62	1273	48	76
chr22	34321001	34361000	U	40000	587	98	94	42	30	53	0	48	950	24	62
chr22	35747001	35782000	U	35000	694	89	82	38	26	50	11	55	971	20	54
chr22	36783001	36865000	U	82000	495	86	64	46	26	65	17	68	549	27	72
chr22	37414001	37446000	U	32000	403	97	89	37	31	43	6	36	313	34	44
chr22	38850001	38866000	U	16000	2531	97	88	52	34	72	6	71	1375	42	64
chr22	39314001	39352000	U	38000	807	92	85	56	41	71	3	59	632	40	64
chr22	40734001	40748000	U	14000	4875	94	80	49	16	74	29	80	1572	32	54
chr22	41029001	41061000	U	32000	1386	96	89	43	23	66	6	60	1250	20	60
chr22	41935001	41976000	U	41000	1032	94	90	52	30	71	17	66	732	38	68
chr22	42858001	42874000	U	16000	2480	85	64	33	17	50	19	57	1625	24	50
chr22	43482001	43498000	U	16000	2191	98	84	55	37	70	19	62	1750	44	72
chr22	45067001	45096000	U	29000	1207	92	86	34	17	51	7	66	966	22	50
chr22	45267001	45296000	U	29000	1020	93	86	51	37	65	7	51	586	42	59
chr22	45454001	45488000	U	34000	619	82	60	41	31	52	3	45	588	33	53
chr22	46410001	46448000	U	38000	925	86	70	53	36	70	3	69	895	38	72
chr22	46922001	46975000	U	53000	619	87	56	38	21	54	4	62	566	26	56
chr22	47136001	47173000	U	37000	1115	97	92	68	49	89	3	73	1081	44	84
chr22	48003001	48027000	U	24000	1101	88	78	63	51	76	4	53	1292	48	79
chr22	48359001	48380000	U	21000	701	88	54	41	34	47	10	32	810	32	49
chr22	49362001	49388000	U	26000	1778	90	82	40	18	63	8	76	1039	33	60
chr22	50199001	50213000	U	14000	1826	91	56	26	14	38	0	58	1429	16	36
chr22	50319001	50341000	U	22000	1072	88	80	38	27	49	9	58	1046	30	53
chr22	50915001	50943000	U	28000	1024	81	63	44	31	57	14	50	750	37	58
